name,common_name
Clethraceae,Clethra
Cleveaceae,
Climaciaceae,
Clusiaceae,Mangosteen
Colchicaceae,
Columelliaceae,
Combretaceae,Indian Almond
Commelinaceae,Spiderwort
Connaraceae,Cannarus
Conocephalaceae,
Convolvulaceae,Morning-glory
Coriariaceae,
Cornaceae,Dogwood
Corsiaceae,
Corsiniaceae,
Corynocarpaceae,Karaka
Costaceae,Costus
Crassulaceae,Stonecrop
Crossosomataceae,Crossosoma
Cryphaeaceae,
Crypteroniaceae,
Ctenolophonaceae,
Cucurbitaceae,Cucumber
Cunoniaceae,Cunonia
Cupressaceae,Cypress
Curtisiaceae,
Cuscutaceae,Dodder
Cyatheaceae,Tree Fern
Cycadaceae,Cycad
Cyclanthaceae,Panama Hat
Cymodoceaceae,Manatee-grass
Cynomoriaceae,
Cyperaceae,Sedge
Cyrillaceae,Cyrilla
Cystodiaceae,
Cytinaceae,
Daltoniaceae,
Daphniphyllaceae,
Dasypogonaceae,
Datiscaceae,Datisca
Davalliaceae,Hanging Fern
Degeneriaceae,
Dendrocerotaceae,
Dennstaedtiaceae,Bracken Fern
Diapensiaceae,Diapensia
Dichapetalaceae,
Dicksoniaceae,Tree Fern
Dicranaceae,
Didiereaceae,
Dilleniaceae,Dillenia
Dioncophyllaceae,
Dioscoreaceae,Yam
Dipentodontaceae,
Dipsacaceae,Teasel
Dipteridaceae,
Dipterocarpaceae,Meranti
Dirachmaceae,
Disceliaceae,
Ditrichaceae,
Doryanthaceae,
Droseraceae,Sundew
Drosophyllaceae,
Dryopteridaceae,Wood Fern
Ebenaceae,Ebony
Ecdeiocoleaceae,
Ectolechiaceae,
Eigleraceae,
Elaeagnaceae,Oleaster
Elaeocarpaceae,Elaeocarpus
Elatinaceae,Waterwort
Emblingiaceae,
Empetraceae,Crowberry
Encalyptaceae,
Entodontaceae,
Epacridaceae,Epacris
Ephedraceae,Mormon-tea
Ephemeraceae,
Equisetaceae,Horsetail
Eremolepidaceae,Catkin-mistletoe
Ericaceae,Heath
Eriocaulaceae,Pipewort
Erpodiaceae,
Erythroxylaceae,Coca
Escalloniaceae,
Eucommiaceae,
Euphorbiaceae,Spurge
Euphroniaceae,
Eupomatiaceae,
Eupteleaceae,
Fabaceae,Pea
Fabroniaceae,
Fagaceae,Beech
Fissidentaceae,
Flacourtiaceae,Flacourtia
Flagellariaceae,Flagellaria
Fontinalaceae,
Fossombroniaceae,
Fouquieriaceae,Ocotillo
Francoaceae,
Frankeniaceae,Frankenia
Fumariaceae,Fumitory
Funariaceae,
Garryaceae,Silk Tassel
Geissolomataceae,
Gelsemiaceae,
Gentianaceae,Gentian
Geocalycaceae,
Geraniaceae,Geranium
Gerrardinaceae,
Gesneriaceae,Gesneriad
Gigaspermaceae,
Ginkgoaceae,Ginkgo
Gisekiaceae,
Gleicheniaceae,Forking Fern
Gnetaceae,Gnetum
Gomortegaceae,
Goodeniaceae,Goodenia
Goupiaceae,
Gracilariaceae,
Grammitidaceae,Kihi Fern
Greyiaceae,Greyia
Grimmiaceae,
Griseliniaceae,
Grossulariaceae,Currant
Grubbiaceae,
Guamatelaceae,
Gunneraceae,Gunnera
Gymnomitriaceae,
Gypsoplaceae,
Gyrostemonaceae,
Gyrothyraceae,
Haemodoraceae,Bloodwort
Halophytaceae,
Haloragaceae,Water Milfoil
Halymeniaceae,
Hamamelidaceae,Witch-hazel
Hanguanaceae,Hanguana
Haplomitriaceae,
Hedwigiaceae,
Heliconiaceae,Heliconia
Helodiaceae,
Helwingiaceae,
Herbertaceae,
Hernandiaceae,Hernandia
Himantandraceae,
Hippocastanaceae,Horse-chestnut
Hippocrateaceae,Hippocratea
Hippuridaceae,Mare's-tail
Huaceae,
Humiriaceae,
Hydatellaceae,
Hydrangeaceae,Hydrangea
Hydrocharitaceae,Tape-grass
Hydroleaceae,
Hydrophyllaceae,Waterleaf
Hydrostachyaceae,
Hylocomiaceae,
Hymenophyllaceae,Filmy Fern
Hypericaceae,
Hypnaceae,
Hypocreaceae,
Hypopterygiaceae,
Hypoxidaceae,
Icacinaceae,Icacina
Illiciaceae,Star-anise
Incertae sedis,
Incertae_sedis,
Iridaceae,Iris
Irvingiaceae,
Isoetaceae,Quillwort
Iteaceae,
Ixioliriaceae,
Ixiolirionaceae,
Ixonanthaceae,
Joinvilleaceae,Joinvillea
Jubulaceae,
Juglandaceae,Walnut
Juncaceae,Rush
Juncaginaceae,Arrow-grass
Jungermanniaceae,
Kewaceae,
Kirkiaceae,
Koeberliniaceae,
Krameriaceae,Krameria
Lacistemataceae,
Lamiaceae,Mint
Lanariaceae,
Lardizabalaceae,Lardizabala
Lauraceae,Laurel
Lecythidaceae,Brazil-nut
Leeaceae,
Leitneriaceae,Corkwood
Lejeuneaceae,
Lemnaceae,Duckweed
Lennoaceae,Lennoa
Lentibulariaceae,Bladderwort
Leotiaceae,
Lepidobotryaceae,
Lepidoziaceae,
Leptodontaceae,
Leskeaceae,
Leucobryaceae,
Leucodontaceae,
Liliaceae,Lily
Limeaceae,
Limnanthaceae,Meadow-Foam
Limnocharitaceae,Water-poppy
Linaceae,Flax
Linderniaceae,
Lindsaeaceae,
Loasaceae,Loasa
Loganiaceae,Logania
Lonchitidaceae,
Lophiocarpaceae,
Lophopyxidaceae,
Lophosoriaceae,Diamond-leaf Fern
Loranthaceae,Showy Mistletoe
Lowiaceae,
Lunulariaceae,
Lycopodiaceae,Club-moss
Lygodiaceae,Climbing Fern
Lythraceae,Loosestrife
Macarthuriaceae,
Magnoliaceae,Magnolia
Malpighiaceae,Barbados Cherry
Malvaceae,Mallow
Marantaceae,Prayer-Plant
Marattiaceae,Vessel Fern
Marcgraviaceae,Shingle Plant
Marchantiaceae,
Marsileaceae,Water-clover
Martyniaceae,
Mastigophoraceae,
Matoniaceae,
Maundiaceae,
Mayacaceae,Mayaca
Mazaceae,
Meesiaceae,
Melanthiaceae,
Melastomataceae,Melastome
Meliaceae,Mahogany
Melianthaceae,Melianthus
Menispermaceae,Moonseed
Menyanthaceae,Buckbean
Mesoptychiaceae,
Meteoriaceae,
Metteniusaceae,
Metzgeriaceae,
Micareaceae,
Microteaceae,
Misodendraceae,
Mitrastemonaceae,
Mniaceae,
Molluginaceae,Carpet-weed
Monimiaceae,Monimia
Monosoleniaceae,
Monotropaceae,Indian Pipe
Montiaceae,
Montiniaceae,
Moraceae,Mulberry
Moringaceae,Horse-radish tree
Muntingiaceae,
Musaceae,Banana
Myodocarpaceae,
Myoporaceae,Myoporum
Myricaceae,Bayberry
Myriniaceae,
Myristicaceae,Nutmeg
Myrothamnaceae,
Myrsinaceae,Myrsine
Myrtaceae,Myrtle
Najadaceae,Water-nymph
Nartheciaceae,
Neckeraceae,
Nelumbonaceae,Lotus-lily
Nepenthaceae,East Indian Pitcher-plant
Neuradaceae,
Nitrariaceae,
Nothofagaceae,
Notothyladaceae,
Nyctaginaceae,Four o'clock
Nymphaeaceae,Water-lily
Nyssaceae,
Ochnaceae,Ochna
Odontotremataceae,
Oedipodiaceae,
Olacaceae,
Oleaceae,Olive
Onagraceae,Evening Primrose
Oncothecaceae,
Opegraphaceae,
Ophioglossaceae,Adder's-tongue
Opiliaceae,
Orchidaceae,
Orobanchaceae,Broom-rape
Orthotrichaceae,
Osmundaceae,
Oxalidaceae,Wood-Sorrel
Oxymitraceae,
Paeoniaceae,Peony
Pallaviciniaceae,
Pandaceae,
Pandanaceae,Screw-pine
Papaveraceae,Poppy
Paracryphiaceae,
Parkeriaceae,Water Fern
Passifloraceae,Passion-flower
Paulowniaceae,
Pedaliaceae,Sesame
Pelliaceae,
Penaeaceae,
Pennantiaceae,
Pentadiplandraceae,
Pentaphragmataceae,
Pentaphylacaceae,
Penthoraceae,
Peraceae,
Peridiscaceae,
Petenaeaceae,
Petermanniaceae,
Petiveriaceae,
Petrosaviaceae,
Phellinaceae,
Philesiaceae,
Philydraceae,Philydraceae
Phrymaceae,
Phyllanthaceae,
Phyllonomaceae,
Physenaceae,
Phytolaccaceae,Pokeweed
Picramniaceae,
Picrodendraceae,
Pinaceae,Pine
Piperaceae,Pepper
Pittosporaceae,Pittosporum
Plagiochilaceae,
Plantaginaceae,Plantain
Platanaceae,Plane-tree
Platygloeaceae,
Pleuroziaceae,
Pleuroziopsidaceae,
Plocospermataceae,
Plumbaginaceae,Leadwort
Poaceae,Grass
Podocarpaceae,Podocarpus
Podostemaceae,River-weed
Polemoniaceae,Phlox
Polygalaceae,Milkwort
Polygonaceae,Buckwheat
Polypodiaceae,Polypody
Polytrichaceae,
Pontederiaceae,Water-Hyacinth
Porellaceae,
Portulacaceae,Purslane
Posidoniaceae,Posidonia
Potamogetonaceae,Pondweed
Pottiaceae,
Primulaceae,Primrose
Proteaceae,Protea
Pseudoditrichaceae,
Pseudolepicoleaceae,
Psilotaceae,Whisk-fern
Pteridaceae,Maidenhair Fern
Pterigynandraceae,
Pterobryaceae,
Ptilidiaceae,
Ptychomitriaceae,
Punicaceae,Pomegranate
Putranjivaceae,
Pyrenotrichaceae,
Pyrolaceae,Shinleaf
Quillajaceae,
Racopilaceae,
Radulaceae,
Rafflesiaceae,Rafflesia
Ranunculaceae,Buttercup
Rapateaceae,
Resedaceae,Mignonette
Restionaceae,
Rhabdodendraceae,
Rhachitheciaceae,
Rhamnaceae,Buckthorn
Rhizogoniaceae,
Rhizophoraceae,Red Mangrove
Rhytidiaceae,
Ricciaceae,
Riellaceae,
Rimulariaceae,
Ripogonaceae,
Roridulaceae,
Rosaceae,Rose
Rousseaceae,
Rubiaceae,Madder
Ruppiaceae,Ditch-grass
Rutaceae,Rue
Sabiaceae,Sabia
Saccolomataceae,
Salicaceae,Willow
Salvadoraceae,
Salviniaceae,
Santalaceae,Sandalwood
Sapindaceae,Soapberry
Sapotaceae,Sapodilla
Sarcobataceae,
Sarcolaenaceae,
Sarraceniaceae,Pitcher-plant
Saururaceae,Lizard's-tail
Saxifragaceae,Saxifrage
Scapaniaceae,
Scheuchzeriaceae,Scheuchzeria
Schisandraceae,Schisandra
Schistostegaceae,
Schizaeaceae,Curly-grass
Schlegeliaceae,
Schoepfiaceae,
Sciadopityaceae,
Scouleriaceae,
Scrophulariaceae,
Selaginellaceae,Spike-moss
Seligeriaceae,
Sematophyllaceae,
Setchellanthaceae,
Simaroubaceae,Quassia
Simmondsiaceae,Jojoba
Siparunaceae,
Sladeniaceae,
Smilacaceae,
Solanaceae,Potato
Solorinellaceae,
Sonneratiaceae,
Sparganiaceae,Bur-reed
Sphaerocarpaceae,
Sphaerosepalaceae,
Sphagnaceae,
Sphenocleaceae,Spenoclea
Splachnaceae,
Stachyuraceae,
Stackhousiaceae,Stackhousia
Staphyleaceae,Bladdernut
Stegnospermataceae,
Stemonaceae,Stemona
Stemonuraceae,
Sterculiaceae,
Stereophyllaceae,
Stilbaceae,
Strasburgeriaceae,
Strelitziaceae,Bird of Paradise Flower
Stylidiaceae,
Styracaceae,Storax
Surianaceae,Suriana
Symplocaceae,Sweetleaf
Syzygosporaceae,
Taccaceae,Tacca
Takakiaceae,
Talinaceae,
Tamaricaceae,Tamarix
Tapisciaceae,
Taxaceae,Yew
Tecophilaeaceae,
Tetracarpaeaceae,
Tetrachondraceae,
Tetramelaceae,
Tetrameristaceae,
Tetraphidaceae,
Thamnobryaceae,
Theaceae,Tea
Theliaceae,
Thelotremataceae,
Thelypteridaceae,Marsh Fern
Theophrastaceae,Theophrasta
Thomandersiaceae,
Thrombiaceae,
Thuidiaceae,
Thurniaceae,
Thymelaeaceae,Mezereum
Ticodendraceae,
Tiliaceae,Linden
Timmiaceae,
Tofieldiaceae,
Torricelliaceae,
Tovariaceae,
Trapaceae,Water Chestnut
Treubiaceae,
Trichocoleaceae,
Trichocomaceae,
Trichotheliaceae,
Trigoniaceae,
Trimeniaceae,
Triuridaceae,Triurus
Trochodendraceae,
Tropaeolaceae,Nasturtium
Turneraceae,Turnera
Typhaceae,Cat-tail
Ulmaceae,Elm
Ulvaceae,
Uncertain Ascomycota,
Uncertain Basidiomycota,
Urticaceae,Nettle
Vahliaceae,
Valerianaceae,Valerian
Velloziaceae,
Verbenaceae,Verbena
Viburnaceae,
Violaceae,Violet
Viscaceae,Christmas Mistletoe
Vitaceae,Grape
Vittariaceae,Shoestring Fern
Vochysiaceae,
Welwitschiaceae,
Winteraceae,Wintera
Xeronemataceae,
Xyridaceae,Yellow-eyed Grass
Zamiaceae,Sago-palm
Zannichelliaceae,Horned pondweed
Zingiberaceae,Ginger
Zosteraceae,Eel-grass
Zygophyllaceae,Creosote-bush
